,L,0.2,0.4,0.7,1.0,1.2,1.4,1.7,2.0,2.2,2.4,2.7,3.0,3.2,3.4,3.7,4.0,4.2,4.4,4.7,5.0,5.2,5.4,5.7,6.0,6.2,6.4,6.7,7.0,26.6,46.2,56.49,60.092,63.693,69.095,71.931,74.768,79.022,81.255,83.489,86.839,89.352,91.864,94.377,98.146,101.57,105.0
0,0.,-1.9927e-005,-3.986e-005,-6.9769e-005,-9.9691e-005,-9.9814e-005,-9.9937e-005,-1.0012e-004,-1.0031e-004,-1.0042e-004,-1.0053e-004,-1.007e-004,-1.0087e-004,-1.0098e-004,-1.0109e-004,-1.0126e-004,-1.0143e-004,-1.0166e-004,-1.0189e-004,-1.0223e-004,-1.0257e-004,-1.0276e-004,-1.0294e-004,-1.0322e-004,-1.035e-004,-1.0365e-004,-1.038e-004,-1.0402e-004,-1.0424e-004,-1.0499e-004,-1.0577e-004,-1.0619e-004,-1.0634e-004,-1.0649e-004,-1.0672e-004,-1.0685e-004,-1.0697e-004,-1.0717e-004,-1.0727e-004,-1.0738e-004,-1.0754e-004,-1.0766e-004,-1.0777e-004,-1.0789e-004,-1.0808e-004,-1.0825e-004,-1.0842e-004
1,15.625,-1.8639e-005,-3.7282e-005,-6.5257e-005,-9.3243e-005,-9.2841e-005,-9.2438e-005,-9.1832e-005,-9.1225e-005,-9.0868e-005,-9.0509e-005,-8.9971e-005,-8.9431e-005,-8.907e-005,-8.8708e-005,-8.8165e-005,-8.762e-005,-8.6906e-005,-8.6191e-005,-8.5113e-005,-8.4028e-005,-8.3447e-005,-8.2862e-005,-8.1977e-005,-8.1082e-005,-8.0611e-005,-8.0138e-005,-7.942e-005,-7.8694e-005,-7.6234e-005,-7.3628e-005,-7.2176e-005,-7.1648e-005,-7.1105e-005,-7.0253e-005,-6.9789e-005,-6.9309e-005,-6.8558e-005,-6.8156e-005,-6.776e-005,-6.7183e-005,-6.6796e-005,-6.6424e-005,-6.6051e-005,-6.5484e-005,-6.4942e-005,-6.4394e-005
2,31.25,-1.6552e-005,-3.3109e-005,-5.7953e-005,-8.2806e-005,-8.1887e-005,-8.0967e-005,-7.9586e-005,-7.8204e-005,-7.7391e-005,-7.6577e-005,-7.5356e-005,-7.4134e-005,-7.3318e-005,-7.2501e-005,-7.1274e-005,-7.0048e-005,-6.8443e-005,-6.6837e-005,-6.4426e-005,-6.2009e-005,-6.0723e-005,-5.9433e-005,-5.7493e-005,-5.5546e-005,-5.4529e-005,-5.3509e-005,-5.1974e-005,-5.0433e-005,-4.5313e-005,-4.0082e-005,-3.7274e-005,-3.6277e-005,-3.5269e-005,-3.3732e-005,-3.2913e-005,-3.2083e-005,-3.0816e-005,-3.0146e-005,-2.9481e-005,-2.8497e-005,-2.7794e-005,-2.7102e-005,-2.641e-005,-2.5369e-005,-2.4407e-005,-2.3442e-005
3,46.875,-1.582e-005,-3.1645e-005,-5.5392e-005,-7.9148e-005,-7.7997e-005,-7.6846e-005,-7.5119e-005,-7.3391e-005,-7.2374e-005,-7.1357e-005,-6.983e-005,-6.8303e-005,-6.7283e-005,-6.6262e-005,-6.473e-005,-6.3198e-005,-6.1195e-005,-5.919e-005,-5.6182e-005,-5.3168e-005,-5.1565e-005,-4.9959e-005,-4.7545e-005,-4.5124e-005,-4.386e-005,-4.2594e-005,-4.069e-005,-3.8781e-005,-3.2452e-005,-2.6022e-005,-2.259e-005,-2.1376e-005,-2.0154e-005,-1.8297e-005,-1.7311e-005,-1.6316e-005,-1.4806e-005,-1.401e-005,-1.3218e-005,-1.2044e-005,-1.1196e-005,-1.036e-005,-9.5242e-006,-8.27e-006,-7.1177e-006,-5.9644e-006
4,62.5,-1.4983e-005,-2.9971e-005,-5.2462e-005,-7.4964e-005,-7.3436e-005,-7.1908e-005,-6.9616e-005,-6.7323e-005,-6.5974e-005,-6.4625e-005,-6.26e-005,-6.0575e-005,-5.9221e-005,-5.7868e-005,-5.5837e-005,-5.3806e-005,-5.115e-005,-4.8494e-005,-4.4507e-005,-4.0515e-005,-3.8393e-005,-3.6267e-005,-3.3074e-005,-2.9875e-005,-2.8205e-005,-2.6533e-005,-2.402e-005,-2.1502e-005,-1.3167e-005,-4.7308e-006,-2.5128e-007,1.3272e-006,2.9132e-006,5.3113e-006,6.5786e-006,7.8532e-006,9.7803e-006,1.0792e-005,1.1799e-005,1.3292e-005,1.4377e-005,1.5447e-005,1.6515e-005,1.8112e-005,1.9568e-005,2.102e-005
5,78.125,-1.474e-005,-2.9485e-005,-5.1613e-005,-7.3752e-005,-7.2024e-005,-7.0296e-005,-6.7703e-005,-6.5109e-005,-6.3583e-005,-6.2057e-005,-5.9767e-005,-5.7476e-005,-5.5946e-005,-5.4416e-005,-5.2119e-005,-4.9822e-005,-4.682e-005,-4.3817e-005,-3.931e-005,-3.4798e-005,-3.2399e-005,-2.9998e-005,-2.6391e-005,-2.2777e-005,-2.0892e-005,-1.9004e-005,-1.6167e-005,-1.3324e-005,-3.9235e-006,5.576e-006,1.0607e-005,1.2376e-005,1.4151e-005,1.6828e-005,1.824e-005,1.9657e-005,2.1795e-005,2.2914e-005,2.4027e-005,2.5678e-005,2.6878e-005,2.8062e-005,2.9241e-005,3.0998e-005,3.2595e-005,3.4182e-005
6,93.75,-1.4494e-005,-2.8993e-005,-5.0752e-005,-7.2524e-005,-7.0412e-005,-6.83e-005,-6.5131e-005,-6.1961e-005,-6.0096e-005,-5.8231e-005,-5.5432e-005,-5.2633e-005,-5.0764e-005,-4.8893e-005,-4.6088e-005,-4.3281e-005,-3.9613e-005,-3.5944e-005,-3.0439e-005,-2.4928e-005,-2.1999e-005,-1.9067e-005,-1.4663e-005,-1.0252e-005,-7.9512e-006,-5.6475e-006,-2.1862e-006,1.282e-006,1.2744e-005,2.4292e-005,3.0373e-005,3.2501e-005,3.4631e-005,3.7827e-005,3.9505e-005,4.1182e-005,4.3698e-005,4.5009e-005,4.6309e-005,4.8231e-005,4.9625e-005,5.0995e-005,5.2353e-005,5.4361e-005,5.6172e-005,5.7954e-005
7,109.37,-1.4431e-005,-2.8869e-005,-5.0536e-005,-7.2217e-005,-6.9897e-005,-6.7577e-005,-6.4097e-005,-6.0616e-005,-5.8567e-005,-5.6519e-005,-5.3446e-005,-5.0372e-005,-4.8319e-005,-4.6265e-005,-4.3184e-005,-4.0103e-005,-3.6075e-005,-3.2046e-005,-2.6002e-005,-1.9952e-005,-1.6737e-005,-1.3519e-005,-8.6854e-006,-3.8446e-006,-1.3192e-006,1.2089e-006,5.0071e-006,8.8125e-006,2.1382e-005,3.4015e-005,4.0636e-005,4.2945e-005,4.5249e-005,4.8697e-005,5.0499e-005,5.2295e-005,5.498e-005,5.6373e-005,5.7751e-005,5.9782e-005,6.1251e-005,6.2691e-005,6.4112e-005,6.62e-005,6.8071e-005,6.99e-005
8,125.,-1.4379e-005,-2.8764e-005,-5.0354e-005,-7.1959e-005,-6.924e-005,-6.6521e-005,-6.2442e-005,-5.8363e-005,-5.5962e-005,-5.3562e-005,-4.996e-005,-4.6359e-005,-4.3952e-005,-4.1546e-005,-3.7936e-005,-3.4325e-005,-2.9606e-005,-2.4885e-005,-1.7803e-005,-1.0716e-005,-6.9487e-006,-3.1786e-006,2.483e-006,8.1535e-006,1.1112e-005,1.4073e-005,1.8523e-005,2.298e-005,3.7685e-005,5.2359e-005,5.9949e-005,6.2569e-005,6.5169e-005,6.9019e-005,7.1013e-005,7.2983e-005,7.59e-005,7.7396e-005,7.8865e-005,8.1008e-005,8.2544e-005,8.4034e-005,8.5485e-005,8.7578e-005,8.9429e-005,9.1197e-005
