,L,0.2,0.4,0.7,1.0,1.2,1.4,1.7,2.0,2.2,2.4,2.7,3.0,3.2,3.4,3.7,4.0,4.2,4.4,4.7,5.0,5.2,5.4,5.7,6.0,6.2,6.4,6.7,7.0,26.6,46.2,56.49,60.092,63.693,69.095,71.931,74.768,79.022,81.255,83.489,86.839,89.352,91.864,94.377,98.146,101.57,105.0
0,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,15.625,1.5697e-003,3.1414e-003,5.5031e-003,7.87e-003,6.4847e-003,5.0992e-003,3.021e-003,9.4258e-004,-2.8019e-004,-1.503e-003,-3.3375e-003,-5.1722e-003,-6.3979e-003,-7.6237e-003,-9.4627e-003,-1.1302e-002,-1.3706e-002,-1.6111e-002,-1.9724e-002,-2.359e-002,-2.5807e-002,-2.8199e-002,-3.2096e-002,-3.6388e-002,-3.8788e-002,-4.1299e-002,-4.5327e-002,-4.9632e-002,-6.6318e-002,-8.7834e-002,-0.10191,-0.10753,-0.11371,-0.12437,-0.13063,-0.13742,-0.14884,-0.15502,-0.16087,-0.16879,-0.17268,-0.1759,-0.17911,-0.18422,-0.18988,-0.19571
2,31.25,3.0825e-003,6.169e-003,1.0807e-002,1.5455e-002,1.2797e-002,1.0138e-002,6.1499e-003,2.1615e-003,-1.8494e-004,-2.5315e-003,-6.0518e-003,-9.5727e-003,-1.1925e-002,-1.4277e-002,-1.7806e-002,-2.1336e-002,-2.5949e-002,-3.0566e-002,-3.75e-002,-4.4939e-002,-4.9218e-002,-5.3846e-002,-6.1409e-002,-6.9759e-002,-7.4437e-002,-7.934e-002,-8.7212e-002,-9.5642e-002,-0.12842,-0.17085,-0.19869,-0.20981,-0.22206,-0.24322,-0.25564,-0.26914,-0.29186,-0.30415,-0.31577,-0.3315,-0.33921,-0.34557,-0.35193,-0.36201,-0.37324,-0.3848
3,46.875,4.5524e-003,9.1105e-003,1.596e-002,2.2825e-002,1.8915e-002,1.5004e-002,9.138e-003,3.2716e-003,-1.7985e-004,-3.6315e-003,-8.8095e-003,-1.3988e-002,-1.7448e-002,-2.0908e-002,-2.6099e-002,-3.129e-002,-3.8077e-002,-4.4867e-002,-5.5067e-002,-6.6025e-002,-7.2337e-002,-7.9172e-002,-9.0356e-002,-0.10272,-0.10965,-0.11692,-0.12861,-0.14113,-0.18987,-0.25311,-0.29466,-0.31126,-0.32957,-0.36119,-0.37976,-0.39995,-0.43393,-0.45232,-0.4697,-0.49323,-0.50474,-0.51422,-0.52371,-0.53876,-0.55552,-0.57279
4,62.5,5.9879e-003,1.1984e-002,2.0993e-002,3.0024e-002,2.4871e-002,1.9719e-002,1.1989e-002,4.2594e-003,-2.8827e-004,-4.8362e-003,-1.1659e-002,-1.8483e-002,-2.3042e-002,-2.7601e-002,-3.444e-002,-4.1281e-002,-5.0223e-002,-5.917e-002,-7.261e-002,-8.7062e-002,-9.5392e-002,-0.10442,-0.11921,-0.13556,-0.14474,-0.15437,-0.16985,-0.18644,-0.25111,-0.3351,-0.39033,-0.41239,-0.43674,-0.47881,-0.50353,-0.5304,-0.57564,-0.60011,-0.62325,-0.65457,-0.66987,-0.68248,-0.69508,-0.71508,-0.73737,-0.76034
5,78.125,7.3908e-003,1.4791e-002,2.5912e-002,3.7059e-002,3.0673e-002,2.4286e-002,1.4706e-002,5.1247e-003,-5.1204e-004,-6.1491e-003,-1.4606e-002,-2.3064e-002,-2.8714e-002,-3.4365e-002,-4.2843e-002,-5.1321e-002,-6.2405e-002,-7.3495e-002,-9.0154e-002,-0.10808,-0.11842,-0.12963,-0.14799,-0.16833,-0.17974,-0.19172,-0.21098,-0.23163,-0.31218,-0.41687,-0.48575,-0.51328,-0.54367,-0.59618,-0.62703,-0.66057,-0.71706,-0.74762,-0.7765,-0.81561,-0.8347,-0.85041,-0.86613,-0.89107,-0.91888,-0.94754
6,93.75,8.7609e-003,1.7533e-002,3.0716e-002,4.393e-002,3.6318e-002,2.8705e-002,1.7286e-002,5.8656e-003,-8.5312e-004,-7.5722e-003,-1.7652e-002,-2.7734e-002,-3.4469e-002,-4.1205e-002,-5.131e-002,-6.1416e-002,-7.4627e-002,-8.7846e-002,-0.1077,-0.12908,-0.14141,-0.15479,-0.17673,-0.20102,-0.21467,-0.22898,-0.25201,-0.27671,-0.37309,-0.49845,-0.58096,-0.61394,-0.65036,-0.71329,-0.75027,-0.79048,-0.8582,-0.89484,-0.92947,-0.97635,-0.99922,-1.018,-1.0369,-1.0667,-1.1001,-1.1344
7,109.37,1.0101e-002,2.0216e-002,3.5416e-002,5.0652e-002,4.1821e-002,3.299e-002,1.9743e-002,6.4951e-003,-1.299e-003,-9.0935e-003,-2.0787e-002,-3.2482e-002,-4.0295e-002,-4.8109e-002,-5.9831e-002,-7.1555e-002,-8.6881e-002,-0.10222,-0.12525,-0.15006,-0.16438,-0.17992,-0.20541,-0.23365,-0.24951,-0.26616,-0.29294,-0.32168,-0.43385,-0.57983,-0.67595,-0.71438,-0.75681,-0.83015,-0.87326,-0.92014,-0.99908,-1.0418,-1.0822,-1.1368,-1.1634,-1.1854,-1.2073,-1.2421,-1.2809,-1.3209
8,125.,1.1407e-002,2.283e-002,3.9996e-002,5.7202e-002,4.7163e-002,3.7123e-002,2.2062e-002,7.0008e-003,-1.8604e-003,-1.0722e-002,-2.4016e-002,-3.7312e-002,-4.6195e-002,-5.5079e-002,-6.8406e-002,-8.1735e-002,-9.9159e-002,-0.11659,-0.14278,-0.171,-0.18729,-0.20498,-0.234,-0.26616,-0.28424,-0.3032,-0.33373,-0.36648,-0.4944,-0.66095,-0.77065,-0.81452,-0.86295,-0.94669,-0.99591,-1.0494,-1.1396,-1.1884,-1.2345,-1.2969,-1.3273,-1.3523,-1.3773,-1.417,-1.4613,-1.507
9,140.63,1.2684e-002,2.5385e-002,4.4473e-002,6.3606e-002,5.2367e-002,4.1127e-002,2.4266e-002,7.4044e-003,-2.5159e-003,-1.2437e-002,-2.732e-002,-4.2205e-002,-5.215e-002,-6.2096e-002,-7.7016e-002,-9.1938e-002,-0.11144,-0.13096,-0.16028,-0.19188,-0.21013,-0.22996,-0.26249,-0.29856,-0.31884,-0.34011,-0.37437,-0.41113,-0.55474,-0.7418,-0.86506,-0.91435,-0.96878,-1.0629,-1.1182,-1.1784,-1.2798,-1.3346,-1.3864,-1.4566,-1.4907,-1.5188,-1.5469,-1.5915,-1.6413,-1.6927
10,156.25,1.3927e-002,2.7873e-002,4.8831e-002,6.984e-002,5.7412e-002,4.4983e-002,2.634e-002,7.6948e-003,-3.2745e-003,-1.4244e-002,-3.0701e-002,-4.7161e-002,-5.8157e-002,-6.9155e-002,-8.5653e-002,-0.10215,-0.12372,-0.14531,-0.17773,-0.21268,-0.23288,-0.25482,-0.29084,-0.3308,-0.35326,-0.37683,-0.4148,-0.45554,-0.61479,-0.8223,-0.95907,-1.0138,-1.0742,-1.1787,-1.2401,-1.3069,-1.4194,-1.4803,-1.5379,-1.6157,-1.6536,-1.6848,-1.716,-1.7655,-1.8207,-1.8777
11,171.88,1.5139e-002,3.0299e-002,5.3082e-002,7.592e-002,6.2315e-002,4.8709e-002,2.83e-002,7.8889e-003,-4.1195e-003,-1.6128e-002,-3.4144e-002,-5.2163e-002,-6.4201e-002,-7.624e-002,-9.4301e-002,-0.11236,-0.13598,-0.1596,-0.1951,-0.23337,-0.2555,-0.27955,-0.31904,-0.36285,-0.38749,-0.41335,-0.455,-0.49971,-0.67452,-0.90242,-1.0527,-1.1128,-1.1791,-1.294,-1.3615,-1.4349,-1.5586,-1.6255,-1.6888,-1.7743,-1.816,-1.8502,-1.8845,-1.9388,-1.9995,-2.0621
