,L,0.2,0.4,0.7,1.0,1.2,1.4,1.7,2.0,2.2,2.4,2.7,3.0,3.2,3.4,3.7,4.0,4.2,4.4,4.7,5.0,5.2,5.4,5.7,6.0,6.2,6.4,6.7,7.0,35.8,64.6,79.72,85.012,90.304,98.242,110.15,116.4,122.65,132.03,136.95,141.87,146.8,148.27,149.74,150.37,151.0
0,0.,-0.39002,-0.78015,-1.3656,-1.9512,-1.9788,-2.0063,-2.0475,-2.0888,-2.113,-2.1373,-2.1736,-2.2099,-2.2342,-2.2585,-2.2948,-2.3312,-2.3787,-2.4261,-2.4972,-2.5683,-2.6059,-2.6435,-2.6998,-2.756,-2.7852,-2.8144,-2.8581,-2.9016,-3.1105,-3.315,-3.4196,-3.4556,-3.4913,-3.5444,-3.6233,-3.6642,-3.7049,-3.7655,-3.7971,-3.8277,-3.847,-3.849,-3.8464,-3.8482,-3.8466
1,15.625,-0.3637,-0.72749,-1.2734,-1.8195,-1.8091,-1.7988,-1.7833,-1.7677,-1.7585,-1.7494,-1.7356,-1.7218,-1.7125,-1.7033,-1.6894,-1.6755,-1.6573,-1.639,-1.6116,-1.584,-1.5693,-1.5545,-1.5322,-1.5098,-1.4981,-1.4863,-1.4685,-1.4506,-1.3619,-1.2684,-1.2164,-1.1977,-1.1786,-1.1495,-1.1052,-1.0816,-1.0579,-1.0221,-1.0033,-0.98356,-0.95227,-0.93922,-0.92138,-0.91678,-0.90874
2,31.25,-0.32569,-0.65147,-1.1403,-1.6293,-1.6108,-1.5922,-1.5644,-1.5365,-1.5201,-1.5037,-1.4791,-1.4545,-1.438,-1.4215,-1.3968,-1.3721,-1.3397,-1.3073,-1.2587,-1.21,-1.1841,-1.1582,-1.1192,-1.0801,-1.0597,-1.0392,-1.0085,-0.97767,-0.82696,-0.67267,-0.58975,-0.56038,-0.53087,-0.48647,-0.41987,-0.38502,-0.35035,-0.29882,-0.27211,-0.24506,-0.21055,-0.19789,-0.18212,-0.17742,-0.17045
3,46.875,-0.31222,-0.62452,-1.0931,-1.562,-1.5392,-1.5164,-1.4822,-1.448,-1.4279,-1.4078,-1.3776,-1.3474,-1.3272,-1.307,-1.2767,-1.2464,-1.2067,-1.1671,-1.1075,-1.0479,-1.0162,-0.98449,-0.93682,-0.88906,-0.86413,-0.83918,-0.80168,-0.7641,-0.5808,-0.39426,-0.2948,-0.25977,-0.22468,-0.1721,-9.3745e-002,-5.3029e-002,-1.2742e-002,4.6702e-002,7.7244e-002,0.10784,0.14452,0.15737,0.17279,0.17763,0.18437
4,62.5,-0.29653,-0.59314,-1.0382,-1.4836,-1.4532,-1.4228,-1.3771,-1.3315,-1.3047,-1.2778,-1.2375,-1.1972,-1.1703,-1.1433,-1.1029,-1.0625,-1.0097,-0.95681,-0.87748,-0.79807,-0.75586,-0.71362,-0.65019,-0.58665,-0.55352,-0.52034,-0.47052,-0.42061,-0.17759,6.8184e-002,0.1977,0.24291,0.28792,0.35483,0.45312,0.50338,0.55248,0.62357,0.65932,0.69439,0.73351,0.74639,0.76108,0.76594,0.77221
5,78.125,-0.29197,-0.58403,-1.0223,-1.4608,-1.4264,-1.3921,-1.3405,-1.2889,-1.2585,-1.2281,-1.1826,-1.137,-1.1066,-1.0761,-1.0304,-0.98472,-0.92498,-0.86523,-0.77556,-0.68583,-0.63814,-0.59041,-0.51875,-0.44699,-0.40956,-0.3721,-0.31584,-0.25949,1.4682e-002,0.2909,0.4353,0.48537,0.53501,0.60835,0.71485,0.7686,0.82056,0.8946,0.93115,0.9664,1.004,1.0158,1.0289,1.0333,1.0387
6,93.75,-0.28727,-0.57464,-1.0059,-1.4374,-1.3953,-1.3533,-1.2902,-1.2271,-1.1899,-1.1528,-1.0971,-1.0413,-1.0041,-0.96685,-0.91098,-0.8551,-0.78206,-0.709,-0.59938,-0.48969,-0.43139,-0.37306,-0.28549,-0.19781,-0.15209,-0.10632,-3.7594e-002,3.1232e-002,0.3657,0.69947,0.87032,0.92852,0.98555,1.0684,1.1848,1.2414,1.2944,1.3664,1.3999,1.4305,1.4594,1.4673,1.475,1.4777,1.4804
7,109.37,-0.28608,-0.57227,-1.0018,-1.4315,-1.3854,-1.3392,-1.2699,-1.2006,-1.1599,-1.1191,-1.058,-0.99678,-0.95592,-0.91505,-0.85373,-0.79241,-0.71225,-0.63208,-0.51179,-0.39143,-0.32747,-0.26348,-0.1674,-7.1217e-002,-2.1057e-002,2.9145e-002,0.10453,0.18002,0.54645,0.90909,1.0914,1.1526,1.212,1.2968,1.4128,1.4673,1.5167,1.5806,1.6086,1.6324,1.6514,1.6553,1.6578,1.6589,1.6593
8,125.,-0.28505,-0.57022,-0.99822,-1.4265,-1.3724,-1.3182,-1.237,-1.1558,-1.108,-1.0602,-0.98845,-0.91673,-0.86882,-0.8209,-0.74902,-0.67712,-0.58315,-0.48917,-0.34815,-0.20706,-0.13209,-5.7078e-002,5.5529e-002,0.16827,0.22706,0.28591,0.37427,0.46273,0.89066,1.3042,1.5018,1.5652,1.625,1.7066,1.8088,1.8514,1.8863,1.9225,1.934,1.9389,1.9335,1.9284,1.9201,1.9175,1.9126
9,140.63,-0.28481,-0.56976,-0.99743,-1.4254,-1.3631,-1.3009,-1.2074,-1.114,-1.059,-1.004,-0.92154,-0.83905,-0.78394,-0.72883,-0.64615,-0.56346,-0.45538,-0.34728,-0.1851,-2.2832e-002,6.3385e-002,0.14965,0.27916,0.40882,0.47645,0.54412,0.64573,0.7474,1.2358,1.6876,1.8842,1.9423,1.994,2.0579,2.1225,2.1411,2.1501,2.1461,2.1406,2.1244,2.0885,2.0745,2.0561,2.0503,2.0405
10,156.25,-0.28481,-0.56977,-0.99746,-1.4255,-1.3589,-1.2923,-1.1924,-1.0924,-1.0336,-0.97484,-0.88664,-0.79843,-0.73949,-0.68056,-0.59215,-0.50373,-0.38816,-0.27257,-9.916e-002,7.4333e-002,0.16651,0.25875,0.39721,0.53585,0.60815,0.68049,0.78908,0.89766,1.4158,1.8769,2.0607,2.1106,2.1521,2.1975,2.229,2.2293,2.2259,2.1968,2.1849,2.1598,2.1086,2.09,2.0662,2.0592,2.0483
11,171.88,-0.28491,-0.56996,-0.99783,-1.426,-1.3511,-1.2762,-1.1639,-1.0515,-0.98534,-0.91921,-0.82001,-0.7208,-0.65452,-0.58824,-0.48881,-0.38937,-0.25939,-0.1294,6.5617e-002,0.26073,0.3644,0.46813,0.62387,0.7798,0.86111,0.94243,1.0644,1.1861,1.7553,2.2087,2.346,2.3732,2.3918,2.3967,2.3837,2.3642,2.3595,2.3394,2.3491,2.3561,2.3224,2.3073,2.2846,2.2818,2.2743
