,L,0.2,0.4,0.7,1.0,1.2,1.4,1.7,2.0,2.2,2.4,2.7,3.0,3.2,3.4,3.7,4.0,4.2,4.4,4.7,5.0,5.2,5.4,5.7,6.0,6.2,6.4,6.7,7.0,35.8,64.6,79.72,85.012,90.304,98.242,110.15,116.4,122.65,132.03,136.95,141.87,146.8,148.27,149.74,150.37,151.0
0,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.
1,15.625,1.5053e-003,3.0124e-003,5.2764e-003,7.5443e-003,6.2274e-003,4.9105e-003,2.935e-003,9.5945e-004,-2.0284e-004,-1.3652e-003,-3.1087e-003,-4.8523e-003,-6.0171e-003,-7.1819e-003,-8.9292e-003,-1.0677e-002,-1.296e-002,-1.5244e-002,-1.868e-002,-2.2261e-002,-2.4261e-002,-2.6358e-002,-2.9701e-002,-3.33e-002,-3.5273e-002,-3.7328e-002,-4.0561e-002,-4.396e-002,-6.3556e-002,-8.9958e-002,-0.10797,-0.11517,-0.12278,-0.13472,-0.15345,-0.16366,-0.17407,-0.18996,-0.1985,-0.20874,-0.24002,-0.25603,-0.28062,-0.28563,-0.29682
2,31.25,2.9545e-003,5.9125e-003,1.0356e-002,1.4807e-002,1.2286e-002,9.7644e-003,5.9818e-003,2.1991e-003,-2.6448e-005,-2.252e-003,-5.5905e-003,-8.9292e-003,-1.1159e-002,-1.339e-002,-1.6735e-002,-2.0081e-002,-2.4454e-002,-2.8827e-002,-3.5408e-002,-4.2276e-002,-4.6121e-002,-5.016e-002,-5.6615e-002,-6.3579e-002,-6.7404e-002,-7.1394e-002,-7.7677e-002,-8.4293e-002,-0.1226,-0.17453,-0.21009,-0.22432,-0.23939,-0.26303,-0.30011,-0.32034,-0.34096,-0.37246,-0.38939,-0.40971,-0.47211,-0.50409,-0.55322,-0.56322,-0.58557
3,46.875,4.3613e-003,8.7277e-003,1.5287e-002,2.1858e-002,1.8153e-002,1.4448e-002,8.8906e-003,3.3325e-003,6.2521e-005,-3.2076e-003,-8.1129e-003,-1.3018e-002,-1.6295e-002,-1.9573e-002,-2.4488e-002,-2.9405e-002,-3.583e-002,-4.2255e-002,-5.1925e-002,-6.2026e-002,-6.7687e-002,-7.3638e-002,-8.316e-002,-9.3447e-002,-9.91e-002,-0.105,-0.1143,-0.1241,-0.18096,-0.25824,-0.31126,-0.33249,-0.35498,-0.39027,-0.44564,-0.47586,-0.50665,-0.5537,-0.57899,-0.60937,-0.70285,-0.75079,-0.82445,-0.83943,-0.87296
4,62.5,5.7341e-003,1.1475e-002,2.0099e-002,2.8739e-002,2.3861e-002,1.8982e-002,1.1664e-002,4.3453e-003,3.9517e-005,-4.2664e-003,-1.0726e-002,-1.7185e-002,-2.15e-002,-2.5815e-002,-3.2288e-002,-3.8762e-002,-4.7222e-002,-5.5683e-002,-6.8416e-002,-8.1725e-002,-8.9188e-002,-9.7038e-002,-0.10961,-0.12319,-0.13067,-0.13847,-0.15077,-0.16373,-0.23906,-0.34162,-0.41207,-0.44028,-0.47017,-0.51709,-0.59072,-0.6309,-0.67184,-0.73442,-0.76806,-0.80848,-0.93304,-0.99692,-1.0951,-1.1151,-1.1598
5,78.125,7.0745e-003,1.4158e-002,2.4798e-002,3.5458e-002,2.9414e-002,2.337e-002,1.4304e-002,5.237e-003,-9.7326e-005,-5.4318e-003,-1.3434e-002,-2.1436e-002,-2.6782e-002,-3.2128e-002,-4.0148e-002,-4.8167e-002,-5.8649e-002,-6.9131e-002,-8.4906e-002,-0.1014,-0.11065,-0.12039,-0.13599,-0.15286,-0.16214,-0.17184,-0.18713,-0.20324,-0.29698,-0.42474,-0.51258,-0.54777,-0.58505,-0.64359,-0.73544,-0.78556,-0.83665,-0.91473,-0.95669,-1.0071,-1.1628,-1.2426,-1.3653,-1.3903,-1.4461
6,93.75,8.3823e-003,1.6775e-002,2.9383e-002,4.2014e-002,3.4813e-002,2.7612e-002,1.6809e-002,6.0057e-003,-3.5018e-004,-6.7063e-003,-1.6241e-002,-2.5776e-002,-3.2145e-002,-3.8515e-002,-4.807e-002,-5.7626e-002,-7.0114e-002,-8.2603e-002,-0.1014,-0.12106,-0.13209,-0.14371,-0.16232,-0.18246,-0.19354,-0.20512,-0.22338,-0.24264,-0.35472,-0.50763,-0.61282,-0.65496,-0.69963,-0.76975,-0.8798,-0.93986,-1.0011,-1.0946,-1.1449,-1.2054,-1.392,-1.4878,-1.635,-1.665,-1.732
7,109.37,9.6607e-003,1.9333e-002,3.3865e-002,4.8423e-002,4.0072e-002,3.172e-002,1.9193e-002,6.6645e-003,-7.0632e-004,-8.0773e-003,-1.9134e-002,-3.0192e-002,-3.7579e-002,-4.4965e-002,-5.6046e-002,-6.7127e-002,-8.161e-002,-9.6094e-002,-0.11789,-0.1407,-0.1535,-0.16698,-0.18859,-0.21198,-0.22486,-0.23831,-0.25954,-0.28192,-0.41229,-0.59028,-0.71278,-0.76188,-0.81391,-0.89561,-1.0238,-1.0938,-1.1651,-1.2741,-1.3327,-1.4032,-1.6209,-1.7326,-1.9043,-1.9392,-2.0174
8,125.,1.0905e-002,2.1824e-002,3.8228e-002,5.4662e-002,4.517e-002,3.5678e-002,2.144e-002,7.2008e-003,-1.1766e-003,-9.5542e-003,-2.2121e-002,-3.4689e-002,-4.3084e-002,-5.148e-002,-6.4074e-002,-7.6668e-002,-9.3129e-002,-0.10959,-0.13437,-0.16029,-0.17485,-0.19019,-0.21477,-0.2414,-0.25606,-0.27137,-0.29554,-0.32104,-0.46962,-0.67261,-0.81239,-0.86841,-0.9278,-1.021,-1.1674,-1.2472,-1.3287,-1.4531,-1.5199,-1.6004,-1.8491,-1.9767,-2.173,-2.2129,-2.3022
